number,name,type,radioactive,x_alpha,x_alpha_1990,x_ar,x_ar_1958,x_ar_we,x_p,x_s,x_s_1989,x_s_we,x_sa,x_mj,x_mj_s,x_mj_sp,x_mj_sp2,x_mj_sp3,x_p_kd,x_mj_kd,x_sa_kd,x_ar_kd,ce_ev_kd,x_ce_kd,x_s_kd,x_a_kd,x_be_kd,x_gg_ev_kd,x_alpha_kd,x_pa_ev_kd,x_sm_kd,ch_ev_kd
1,H,1,F,2.27,2.27,2.2,NA,2.2,2.2,2.3,2.3,2.3,2.59,2.25,2.25,NA,NA,NA,2.2,2.25,2.592,2.2,13.61,2.3,2.3,2.2,NA,7.1862,2.27,7.18,2.1,6.43
2,He,2,F,3.92,3.92,3.2,NA,5.5,NA,4.16,NA,NA,NA,3.49,3.49,NA,NA,NA,NA,3.49,NA,5.5,24.59,4.16,NA,NA,NA,12.0568,3.92,NA,NA,NA
3,Li,3,F,0.94,0.94,0.97,0.97,0.97,0.98,0.912,0.912,0.912,0.89,0.97,0.97,NA,NA,NA,0.98,0.97,0.886,0.97,5.392,0.912,0.912,0.98,1,2.4435,0.94,3.01,1,2.39
4,Be,3,F,1.55,1.55,1.47,1.47,1.47,1.57,1.576,1.576,1.576,1.81,1.54,1.54,NA,NA,NA,1.57,1.54,1.81,1.47,9.323,1.576,1.576,1.57,1.44,3.706,1.55,4.9,1.5,4.5
5,B,1,F,2.02,2.02,2.01,2.01,2.01,2.04,2.051,2.051,2.051,2.28,2.04,NA,NA,2.04,NA,2.04,2.04,2.275,2.01,12.13,2.051,2.051,2.04,1.9,4.9686,2.02,4.29,1.9,4.01
6,C,1,F,2.55,2.55,2.5,2.5,2.5,2.55,2.544,2.544,2.544,2.75,2.48,NA,NA,NA,2.48,2.55,2.99,2.746,2.5,15.05,2.544,2.544,2.55,2.6,6.2338,2.55,6.27,2.3,5
7,N,1,F,3.12,3.12,3.07,3.07,3.07,3.04,3.066,3.066,3.066,3.19,2.9,2.9,NA,NA,NA,3.04,3.68,3.194,3.07,18.13,3.066,3.066,3.04,3.08,7.4964,3.12,7.3,3.3,7.23
8,O,1,F,3.62,3.62,3.5,3.5,3.5,3.44,3.61,3.61,3.61,3.65,3.41,3.41,NA,NA,NA,3.44,3.94,3.654,3.5,21.36,3.61,3.61,3.44,3.62,8.7861,3.62,7.54,3.64,6.08
9,F,1,F,4.23,4.23,4.2,4.1,4.1,3.98,4.193,4.193,4.193,4,3.91,3.91,NA,NA,NA,3.98,4.3,4,4.1,24.8,4.193,4.193,3.98,4,10.0378,4.23,10.41,4.05,7.01
10,Ne,2,F,4.89,4.89,5.1,NA,4.84,NA,4.787,4.787,4.787,4.5,3.98,3.98,NA,NA,NA,NA,4.49,4.5,4.84,28.31,4.787,4.787,NA,NA,11.3003,4.89,NA,NA,NA
11,Na,3,F,0.95,0.95,1.01,1.01,1.01,0.93,0.869,0.869,0.869,0.56,0.91,0.91,NA,NA,NA,0.93,0.91,0.835,1.01,5.14,0.869,0.869,0.93,1,2.438,0.95,2.85,0.95,2.3
12,Mg,3,F,1.32,1.32,1.23,1.23,1.23,1.31,1.293,1.293,1.293,1.32,1.37,1.37,NA,NA,NA,1.31,1.37,1.318,1.23,7.646,1.293,1.293,1.31,1.32,3.6108,1.32,3.75,1.3,3.9
13,Al,3,F,1.55,1.55,1.47,1.47,1.47,1.61,1.613,1.613,1.613,1.71,1.83,NA,NA,1.83,NA,1.61,1.83,1.714,1.47,9.539,1.613,1.613,1.61,1.58,4.6393,1.55,3.23,1.5,2.77
14,Si,1,F,1.87,1.87,1.74,1.74,1.74,1.9,1.916,1.916,1.916,2.14,2.28,NA,NA,NA,2.28,1.9,2.28,2.138,1.74,11.33,1.916,1.916,1.9,1.87,5.5236,1.87,4.77,1.75,3.38
15,P,1,F,2.22,2.22,2.06,2.06,2.06,2.19,2.253,2.253,2.253,2.52,2.3,2.3,NA,NA,NA,2.19,2.41,2.515,2.06,13.33,2.253,2.253,2.19,2.17,6.3405,2.22,5.62,2.05,4.88
16,S,1,F,2.49,2.49,2.44,2.44,2.44,2.58,2.589,2.589,2.589,2.96,2.69,2.69,NA,NA,NA,2.58,2.86,2.957,2.44,15.31,2.589,2.589,2.58,2.64,6.8379,2.49,6.22,2.45,4.14
17,Cl,1,F,2.82,2.82,2.83,2.83,2.83,3.16,2.869,2.869,2.869,3.48,3.1,3.1,NA,NA,NA,3.16,3.10 ,3.475,2.83,16.97,2.869,2.869,3.16,3.05,7.2923,2.82,8.3,2.9,4.68
18,Ar,2,F,3.18,3.18,3.3,NA,3.2,NA,3.242,3.242,3.242,3.31,3.19,3.19,NA,NA,NA,NA,3.49,3.31,3.20 ,19.17,3.242,3.242,NA,NA,7.6515,3.18,NA,NA,NA
