number,name,type,radioactive,x_alpha,x_alpha_1990,x_ar,x_ar_1958,x_ar_we,x_p,x_s,x_s_1989,x_s_we,x_mj
1,H,1,F,2.27,2.27,2.2,NA,2.2,2.2,2.3,2.3,2.3,2.25
2,He,2,F,3.92,3.92,3.2,NA,5.5,NA,4.16,NA,NA,3.49
3,Li,3,F,0.94,0.94,0.97,0.97,0.97,0.98,0.912,0.912,0.912,0.97
4,Be,3,F,1.55,1.55,1.47,1.47,1.47,1.57,1.576,1.576,1.576,1.54
5,B,1,F,2.02,2.02,2.01,2.01,2.01,2.04,2.051,2.051,2.051,2.04
6,C,1,F,2.55,2.55,2.5,2.5,2.5,2.55,2.544,2.544,2.544,2.48
7,N,1,F,3.12,3.12,3.07,3.07,3.07,3.04,3.066,3.066,3.066,2.9
8,O,1,F,3.62,3.62,3.5,3.5,3.5,3.44,3.61,3.61,3.61,3.41
9,F,1,F,4.23,4.23,4.2,4.1,4.1,3.98,4.193,4.193,4.193,3.91
10,Ne,2,F,4.89,4.89,5.1,NA,4.84,NA,4.787,4.787,4.787,3.98
11,Na,3,F,0.95,0.95,1.01,1.01,1.01,0.93,0.869,0.869,0.869,0.91
12,Mg,3,F,1.32,1.32,1.23,1.23,1.23,1.31,1.293,1.293,1.293,1.37
13,Al,3,F,1.55,1.55,1.47,1.47,1.47,1.61,1.613,1.613,1.613,1.83
14,Si,1,F,1.87,1.87,1.74,1.74,1.74,1.9,1.916,1.916,1.916,2.28
15,P,1,F,2.22,2.22,2.06,2.06,2.06,2.19,2.253,2.253,2.253,2.3
16,S,1,F,2.49,2.49,2.44,2.44,2.44,2.58,2.589,2.589,2.589,2.69
17,Cl,1,F,2.82,2.82,2.83,2.83,2.83,3.16,2.869,2.869,2.869,3.1
18,Ar,2,F,3.18,3.18,3.3,NA,3.2,NA,3.242,3.242,3.242,3.19
19,K,3,F,0.84,0.84,0.91,0.91,0.91,0.82,0.734,0.734,0.734,0.73
20,Ca,3,F,1.11,1.11,1.04,1.04,1.04,1,1.034,1.034,1.034,1.08
21,Sc,4,F,1.17,1.17,1.2,1.2,1.2,1.36,1.19,NA,NA,NA
22,Ti,4,F,1.23,1.23,1.32,1.32,1.32,1.54,1.38,NA,NA,NA
23,V,4,F,1.27,1.27,1.45,1.45,1.45,1.63,1.53,NA,NA,NA
24,Cr,4,F,1.29,1.29,1.56,1.56,1.66,1.66,1.65,NA,NA,NA
25,Mn,4,F,1.36,1.36,1.6,1.6,1.6,1.55,1.75,NA,NA,NA
26,Fe,4,F,1.4,1.4,1.64,1.64,1.64,1.83,1.8,NA,NA,NA
27,Co,4,F,1.44,1.44,1.7,1.7,1.7,1.88,1.84,NA,NA,NA
28,Ni,4,F,1.47,1.47,1.75,1.75,1.75,1.91,1.88,NA,NA,NA
29,Cu,4,F,1.51,1.51,1.75,1.75,1.75,1.9,1.85,NA,NA,1.49
30,Zn,4,F,1.46,1.46,1.66,1.66,1.66,1.65,1.59,NA,NA,1.65
31,Ga,3,F,1.56,1.56,1.82,1.82,1.82,1.81,1.756,1.756,1.756,2.01
32,Ge,3,F,1.81,1.81,2.02,2.02,2.02,2.01,1.994,1.994,1.994,2.33
33,As,1,F,2.11,2.11,2.2,2.2,2.2,2.18,2.211,2.211,2.211,2.26
34,Se,1,F,2.31,2.31,2.48,2.48,2.48,2.55,2.424,2.424,2.424,2.6
35,Br,1,F,2.56,2.56,2.74,2.74,2.74,2.96,2.685,2.685,2.685,2.95
36,Kr,2,F,2.82,2.82,3.1,NA,2.94,3,2.966,2.966,2.966,3
37,Rb,3,F,0.83,0.83,0.89,0.89,0.89,0.82,0.706,0.706,0.706,0.69
38,Sr,3,F,1.06,1.06,0.99,0.99,0.99,0.95,0.963,0.963,0.963,1
39,Y,4,F,1.11,1.11,1.1,1.11,1.11,1.22,1.12,NA,NA,NA
40,Zr,4,F,1.17,1.17,1.22,NA,1.22,1.33,1.32,NA,NA,NA
41,Nb,4,F,1.21,1.21,1.23,NA,1.23,1.6,1.41,NA,NA,NA
42,Mo,4,F,1.26,1.26,1.3,NA,1.3,2.16,1.47,NA,NA,NA
43,Tc,4,T,1.3,1.3,1.36,NA,1.36,1.9,1.51,NA,NA,NA
44,Ru,4,F,1.35,1.35,1.42,NA,1.42,2.2,1.54,NA,NA,NA
45,Rh,4,F,1.39,1.39,1.45,NA,1.45,2.28,1.56,NA,NA,NA
46,Pd,4,F,1.61,1.61,1.35,NA,1.35,2.2,1.59,NA,NA,NA
47,Ag,4,F,1.45,1.45,1.42,1.42,1.42,1.93,1.87,NA,NA,1.47
48,Cd,4,F,1.45,1.45,1.46,1.46,1.46,1.69,1.52,NA,NA,1.53
49,In,4,F,1.52,1.52,1.49,1.49,1.49,1.78,1.656,1.656,1.656,1.76
50,Sn,4,F,1.7,1.7,1.72,1.72,1.72,1.96,1.824,1.824,1.824,2.21
51,Sb,4,F,1.88,1.88,1.82,1.82,1.82,2.05,1.984,1.984,1.984,2.12
52,Te,1,F,2.08,2.08,2.01,2.01,2.01,2.1,2.158,2.158,2.158,2.41
53,I,1,F,2.27,2.27,2.21,2.21,2.21,2.66,2.359,2.359,2.359,2.74
54,Xe,2,F,2.45,2.45,2.4,NA,2.4,2.6,2.582,2.582,2.582,2.73
55,Cs,3,F,0.79,0.79,0.86,0.86,0.86,0.79,0.659,NA,NA,0.62
56,Ba,3,F,0.98,0.98,0.97,0.97,0.97,0.89,0.881,NA,NA,0.88
57,La,5,F,1.04,1.04,1.08,1.08,1.08,1.1,NA,NA,NA,NA
58,Ce,5,F,1.05,1.05,NA,NA,1.08,1.12,NA,NA,NA,NA
59,Pr,5,F,1.06,1.06,NA,NA,1.07,1.13,NA,NA,NA,NA
60,Nd,5,F,1.03,1.03,NA,NA,1.07,1.14,NA,NA,NA,NA
61,Pm,5,T,1.04,1.04,NA,NA,1.07,NA,NA,NA,NA,NA
62,Sm,5,F,1.05,1.05,NA,NA,1.07,1.17,NA,NA,NA,NA
63,Eu,5,F,1.06,1.06,NA,NA,1.01,NA,NA,NA,NA,NA
64,Gd,5,F,1.1,1.1,NA,NA,1.11,1.2,NA,NA,NA,NA
65,Tb,5,F,1.08,1.08,NA,NA,1.1,NA,NA,NA,NA,NA
66,Dy,5,F,1.09,1.09,NA,NA,1.1,1.22,NA,NA,NA,NA
67,Ho,5,F,1.1,1.1,NA,NA,1.1,1.23,NA,NA,NA,NA
68,Er,5,F,1.11,1.11,NA,NA,1.11,1.24,NA,NA,NA,NA
69,Tm,5,F,1.12,1.12,NA,NA,1.11,1.25,NA,NA,NA,NA
70,Yb,5,F,1.13,1.13,NA,NA,1.06,NA,NA,NA,NA,NA
71,Lu,4,F,1.12,1.12,NA,NA,1.14,1.27,1.09,NA,NA,NA
72,Hf,4,F,1.2,1.2,1.23,NA,1.23,1.3,1.16,NA,NA,NA
73,Ta,4,F,1.26,1.26,1.33,NA,1.33,1.5,1.34,NA,NA,NA
74,W,4,F,1.31,1.31,1.4,NA,1.4,2.36,1.47,NA,NA,NA
75,Re,4,F,1.35,1.35,1.46,NA,1.46,1.9,1.6,NA,NA,NA
76,Os,4,F,1.39,1.39,1.52,NA,1.52,2.2,1.65,NA,NA,NA
77,Ir,4,F,1.43,1.43,1.55,NA,1.55,2.2,1.68,NA,NA,NA
78,Pt,4,F,1.49,1.49,1.44,NA,1.44,2.28,1.72,NA,NA,NA
79,Au,4,F,1.53,1.53,1.42,NA,1.42,2.54,1.92,NA,NA,NA
80,Hg,4,F,1.54,1.54,1.44,NA,1.44,2,1.76,NA,NA,1.81
81,Tl,3,F,1.59,1.59,1.44,NA,1.44,1.62,1.789,NA,NA,1.96
82,Pb,3,F,1.76,1.76,1.55,NA,1.55,2.33,1.854,NA,NA,2.41
83,Bi,3,F,1.83,1.83,1.67,NA,1.67,2.02,2.01,NA,NA,2.15
84,Po,3,T,1.96,1.96,1.76,NA,1.76,2,2.19,NA,NA,2.48
85,At,1,T,2.12,2.12,1.9,NA,1.9,2.2,2.39,NA,NA,2.85
86,Rn,2,T,2.27,2.27,NA,NA,NA,NA,2.6,NA,NA,2.59
87,Fr,3,T,0.82,0.82,0.86,NA,0.86,0.7,NA,NA,NA,0.68
88,Ra,3,T,0.93,0.99,0.97,NA,0.97,0.9,NA,NA,NA,0.92
89,Ac,6,T,1.03,1.03,NA,NA,1,1.1,NA,NA,NA,NA
90,Th,6,T,1.03,1.03,NA,NA,1.11,1.3,NA,NA,NA,NA
91,Pa,6,T,1.08,1.08,NA,NA,1.14,1.5,NA,NA,NA,NA
92,U,6,T,1.06,1.06,NA,NA,1.22,1.38,NA,NA,NA,NA
93,Np,6,T,1.09,1.09,NA,NA,1.22,1.36,NA,NA,NA,NA
94,Pu,6,T,1.09,1.09,NA,NA,1.22,1.28,NA,NA,NA,NA
